sep=,
"Time","temperature","windSpeed","solarRad","humedad","rain","Power_gen","pressure_sensor","pressure"
1707353990000,11.9444,0,0,58,0,0,404.29566524611596,28.872
1707358191000,10.6111,3.21869,0,68,0,0,404.68666123171556,28.851
1707362392000,10.4444,1.60934,0,67,0,0,404.1228010538648,28.844
1707366593000,9.38889,1.60934,0,70,0,0,404.89935557555845,28.821
1707370794000,9.05556,3.21869,0,70,0,0,405.0849293890463,28.8
1707374995000,9.22222,0,0,69,0,0,406.6550513112543,28.799
1707414172000,15.7778,1.60934,0,71,0,0,395.5493442444665,28.56
1707418373000,15.6667,6.43738,0,66,0,0,394.10578479724904,28.571
1707421374000,17.2222,24.1402,0,32,0,0,394.707973990325,28.556
1707423774000,18.5556,20.9215,0,25,0,0,393.9479653272489,28.547
1707424982000,18.1667,17.7028,0,27,0,0,394.16936626201766,28.553
1707428639000,17.5,6.43738,0,33,0,0,395.20725194582957,28.543
1707431498000,16.7222,16.0934,0,36,0,0,396.97512356538715,28.528
1707433299000,16.0556,19.3121,0,38,0,0,394.9532930312003,28.513
1707434499000,15.6667,16.0934,0,41,0,0,395.51785373935553,28.495
1707435717000,15.3889,16.0934,0,44,0,0,395.715636795291,28.488
1707439918000,14.5,3.21869,0,45,0,0,394.12373171647545,28.454
1707444119000,13.8889,1.60934,0,45,0,0,393.96464462021027,28.418
1707448320000,14.3333,1.60934,0,47,0,0,393.9461306050232,28.387
1707452521000,13.6667,1.60934,0,53,0,0,394.06488717090787,28.364
1707456722000,13.0556,3.21869,0,58,0,0,393.8122292411296,28.34
1707460923000,12.5556,1.60934,0,60,0,0,396.13572146781513,28.325
1707503607000,12.6667,8.04672,0,85,0.599999986588955,0,389.88498963762606,28.099
1707507809000,12.7222,3.21869,0,83,0.599999986588955,0,389.63550077351044,28.105
1707511710000,13.9444,8.04672,0,71,0.599999986588955,0,388.0485661239975,28.094
1707515010000,15,20.9215,0,58,0.599999986588955,0,390.18031319879947,28.105
1707518911000,13.4444,6.43738,0,61,0.599999986588955,0,390.00017683481707,28.116
1707522212000,14,16.0934,0,58,0.599999986588955,0,389.47244400552046,28.104
1707526113000,13.7778,8.04672,0,60,0.599999986588955,0,390.57637968945926,28.098
1707530015000,13.5556,11.2654,0,60,0,0,390.8550239576713,28.108
1707531515000,13.4444,16.0934,0,61,0,0,389.19863673226723,28.104
